Ablated Group,Accuracy,Precision,Recall,F1,False Positives,False Negatives
None (Baseline),0.7909090909090908,0.7226190476190476,1.0,0.8365567765567766,11.0,0.0
brightness_color,0.8109090909090909,0.7485714285714286,1.0,0.8525641025641025,10.0,0.0
blur_sharpness,0.8272727272727272,0.7607142857142858,1.0,0.8611721611721611,9.0,0.0
fft_global_freq,0.9236363636363636,0.8857142857142858,1.0,0.9358974358974359,4.0,0.0
local_patch_fft,0.809090909090909,0.7440476190476191,1.0,0.8497435897435898,10.0,0.0
moire_banding,0.8290909090909091,0.7630952380952382,1.0,0.863136863136863,9.0,0.0
jpeg_compression,0.809090909090909,0.7440476190476191,1.0,0.8497435897435898,10.0,0.0
bezel_border,0.7709090909090909,0.7047619047619047,1.0,0.8237362637362636,12.0,0.0
perspective_rect,0.7909090909090908,0.7226190476190476,1.0,0.8365567765567766,11.0,0.0
glare_overexposure,0.7909090909090908,0.7226190476190476,1.0,0.8365567765567766,11.0,0.0
printout_paper,0.809090909090909,0.7440476190476191,1.0,0.8497435897435898,10.0,0.0
