feature,real_mean,real_std,screen_mean,screen_std,diff,abs_diff
h_freq_peak,24641.611902150304,6281.058685300825,31750.380263486233,5419.765658651333,7108.7683613359295,7108.7683613359295
v_freq_peak,27917.007071538646,6707.9947993730475,34882.68472049262,6222.573603304084,6965.677648953977,6965.677648953977
diag_freq_peak,15139.207427099549,2765.6175132713342,16180.653240532394,2002.9618980825608,1041.4458134328452,1041.4458134328452
paper_texture,52.6718978562737,49.68017598654548,80.55741162132321,57.89564764359154,27.88551376504951,27.88551376504951
local_fft_hf,109.74161964719177,18.24184534038729,116.42582997478117,12.514743394904485,6.684210327589398,6.684210327589398
laplacian_var,5.60052484056769,5.669734594485971,8.66870695581225,6.681892243078991,3.068182115244559,3.068182115244559
contrast,5.011400101286042,1.375711308621852,6.828347303939525,0.7509620820815118,1.8169472026534832,1.8169472026534832
blockiness,3.8218231444005615,2.6471995657943945,4.852633742491404,2.365722991012048,1.0308105980908429,1.0308105980908429
sobel_mean,3.028883964447552,1.7217938066146947,4.027825715354863,1.8233033253557385,0.9989417509073113,0.9989417509073113
moire_score,2.4790049726080694,2.3882131433286427,3.4734725532728854,2.66337768614919,0.994467580664816,0.994467580664816
saturation,8.648556935345685,3.7325410000983488,9.103414093653361,3.6672784455967187,0.4548571583076768,0.4548571583076768
bezel_score,0.12219275229992792,0.1696122558405625,0.5647950034194141,0.25026762116218354,0.4426022511194862,0.4426022511194862
rect_contour_score,0.4938362596945182,0.2626547114788088,0.4046307367070991,0.2881513216417812,-0.08920552298741913,0.08920552298741913
brightness,10.89311771746035,2.764833614153816,10.96262468338013,2.1589593435955123,0.06950696591977845,0.06950696591977845
perspective_score,0.002285515820536377,0.0094412066036919,0.02329554557798071,0.12266371372359398,0.021010029757444332,0.021010029757444332
fft_hf_ratio,0.7649619019228353,0.03338600720589976,0.7520456333850289,0.01613459934054353,-0.012916268537806364,0.012916268537806364
compression_diff,0.04650357564290365,0.015920342572571796,0.050971716245015466,0.013306079118053253,0.004468140602111814,0.004468140602111814
glare_ratio,0.007266962969744647,0.00887505641508299,0.009371089935302734,0.009171267503943318,0.002104126965558087,0.002104126965558087
edge_density,0.0031780631453902637,0.0029324937697541376,0.004580659866333008,0.0034261414037786123,0.0014025967209427442,0.0014025967209427442
banding_score,0.00042720899599409904,0.0002923774311644309,0.000280875656921857,2.483103408299532e-05,-0.00014633333907224203,0.00014633333907224203
glare_patch_size,0.0012771465160228588,0.0019419619860844817,0.0013153076171875,0.0019023709193961061,3.8161101164641215e-05,3.8161101164641215e-05
